"pref_cd","station_cd","station_name","post","add","lat","lon","line_cd","line_name_h","company_cd","company_name"
1,1110101,"函館","040-0063","北海道函館市若松町１２-１３",41.773709,140.726413,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110102,"五稜郭","041-0813","函館市亀田本町",41.803557,140.733539,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110103,"桔梗","041-0801","北海道函館市桔梗３丁目４１-３６",41.846457,140.722952,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110104,"大中山","041-1121","亀田郡七飯町大字大中山",41.864641,140.71358,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110105,"七飯","041-1111","亀田郡七飯町字本町",41.886971,140.688556,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110106,"新函館北斗","041-1242","北海道北斗市市渡",41.9054,140.646525,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110107,"仁山","041-1101","亀田郡七飯町字仁山",41.930011,140.635183,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110108,"大沼","041-1354","北海道亀田郡七飯町字大沼町４",41.971954,140.669347,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110109,"大沼公園","041-1354","北海道亀田郡七飯町字大沼町８５",41.980958,140.669758,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110110,"赤井川","049-2142","茅部郡森町字赤井川",42.003267,140.642678,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110111,"駒ケ岳","049-2300","北海道茅部郡森町字駒ヶ岳",42.038809,140.610476,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110114,"池田園","041-1352","亀田郡七飯町字軍川",41.990692,140.700333,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110115,"流山温泉","041-1351","亀田郡七飯町字東大沼２３６",42.003483,140.716358,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110116,"銚子口","041-1351","亀田郡七飯町字東大沼",42.015471,140.720656,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110117,"鹿部","041-1404","茅部郡鹿部町字本別",42.06439,140.771393,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110118,"渡島沼尻","049-2223","茅部郡森町砂原東４丁目",42.10706,140.747596,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110119,"渡島砂原","049-2222","茅部郡森町砂原４丁目",42.12164,140.689451,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110120,"掛澗","049-2221","茅部郡森町砂原西３丁目",42.119205,140.64598,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110121,"尾白内","049-2301","茅部郡森町字尾白内町",42.111232,140.613449,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110122,"東森","049-2302","茅部郡森町字港町",42.106823,140.59353,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110123,"森","049-2325","茅部郡森町字本町",42.108917,140.573846,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110125,"石谷","049-2464","茅部郡森町字本茅部町",42.135519,140.506525,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110126,"本石倉","049-2463","茅部郡森町字石倉町",42.159668,140.471957,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110127,"石倉","049-2463","茅部郡森町字石倉町",42.17285,140.458436,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110128,"落部","049-2562","二海郡八雲町落部",42.187617,140.420755,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110129,"野田生","049-2672","二海郡八雲町野田生",42.217104,140.37586,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110130,"山越","049-2671","二海郡八雲町山越",42.231172,140.326593,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110131,"八雲","049-3107","二海郡八雲町本町",42.253391,140.273342,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110133,"山崎","049-3342","二海郡八雲町山崎",42.314635,140.2746,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110134,"黒岩","049-3341","二海郡八雲町黒岩",42.368296,140.288173,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110136,"国縫","049-3462","山越郡長万部町字国縫",42.439319,140.320885,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110137,"中ノ沢","049-3512","山越郡長万部町字中の沢",42.477928,140.346077,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110138,"長万部","049-3521","山越郡長万部町字長万部",42.512477,140.37507,11101,"JR函館本線(函館～長万部)",1,"JR北海道"
1,1110201,"長万部","049-3521","山越郡長万部町字長万部",42.512477,140.37507,11102,"JR函館本線(長万部～小樽)",1,"JR北海道"
1,1110202,"二股","049-3501","山越郡長万部町字双葉",42.575869,140.320821,11102,"JR函館本線(長万部～小樽)",1,"JR北海道"
1,1110204,"黒松内","048-0101","寿都郡黒松内町字黒松内",42.669608,140.305704,11102,"JR函館本線(長万部～小樽)",1,"JR北海道"
1,1110205,"熱郛","048-0134","寿都郡黒松内町字白井川",42.675653,140.375084,11102,"JR函館本線(長万部～小樽)",1,"JR北海道"
1,1110206,"目名","048-1261","磯谷郡蘭越町目名町",42.761432,140.465742,11102,"JR函館本線(長万部～小樽)",1,"JR北海道"
1,1110207,"蘭越","048-1301","磯谷郡蘭越町蘭越町",42.804542,140.52894,11102,"JR函館本線(長万部～小樽)",1,"JR北海道"
1,1110208,"昆布","048-1302","磯谷郡蘭越町昆布町",42.797984,140.596107,11102,"JR函館本線(長万部～小樽)",1,"JR北海道"
1,1110209,"ニセコ","048-1512","虻田郡ニセコ町字中央通",42.808746,140.684588,11102,"JR函館本線(長万部～小樽)",1,"JR北海道"
1,1110210,"比羅夫","044-0077","虻田郡倶知安町比羅夫",42.84856,140.722615,11102,"JR函館本線(長万部～小樽)",1,"JR北海道"
1,1110211,"倶知安","044-0051","虻田郡倶知安町北三条西４丁目",42.90164,140.745471,11102,"JR函館本線(長万部～小樽)",1,"JR北海道"
1,1110212,"小沢","048-2142","岩内郡共和町小沢",42.97185,140.677657,11102,"JR函館本線(長万部～小樽)",1,"JR北海道"
1,1110213,"銀山","048-2335","余市郡仁木町銀山２丁目",43.040888,140.715321,11102,"JR函館本線(長万部～小樽)",1,"JR北海道"
1,1110214,"然別","048-2403","余市郡仁木町然別",43.12551,140.737211,11102,"JR函館本線(長万部～小樽)",1,"JR北海道"
1,1110215,"仁木","048-2405","余市郡仁木町字北町１丁目",43.154091,140.770546,11102,"JR函館本線(長万部～小樽)",1,"JR北海道"
1,1110216,"余市","046-0003","余市郡余市町黒川町５丁目",43.186558,140.794686,11102,"JR函館本線(長万部～小樽)",1,"JR北海道"
1,1110217,"蘭島","048-2562","小樽市蘭島１丁目",43.19651,140.854643,11102,"JR函館本線(長万部～小樽)",1,"JR北海道"
1,1110218,"塩谷","048-2672","小樽市塩谷２丁目",43.202406,140.924546,11102,"JR函館本線(長万部～小樽)",1,"JR北海道"
1,1110219,"小樽","047-0032","小樽市稲穂２丁目",43.197172,140.993653,11102,"JR函館本線(長万部～小樽)",1,"JR北海道"
1,1110301,"小樽","047-0032","小樽市稲穂２丁目",43.197172,140.993653,11103,"JR函館本線(小樽～旭川)",1,"JR北海道"
1,1110302,"南小樽","047-0015","小樽市住吉町",43.186529,141.007883,11103,"JR函館本線(小樽～旭川)",1,"JR北海道"
1,1110303,"小樽築港","047-0008","小樽市築港",43.180752,141.029051,11103,"JR函館本線(小樽～旭川)",1,"JR北海道"
1,1110304,"朝里","047-0151","小樽市朝里１丁目",43.176868,141.063923,11103,"JR函館本線(小樽～旭川)",1,"JR北海道"
1,1110305,"銭函","047-0261","小樽市銭函２丁目",43.143403,141.159868,11103,"JR函館本線(小樽～旭川)",1,"JR北海道"
1,1110306,"ほしみ","006-0859","札幌市手稲区手稲星置１条９丁目",43.13373,141.191402,11103,"JR函館本線(小樽～旭川)",1,"JR北海道"
1,1110307,"星置","006-0851","札幌市手稲区星置１条３丁目",43.132375,141.210856,11103,"JR函館本線(小樽～旭川)",1,"JR北海道"
1,1110308,"稲穂","006-0831","札幌市手稲区曙１条３丁目",43.128115,141.222919,11103,"JR函館本線(小樽～旭川)",1,"JR北海道"
1,1110309,"手稲","006-0021","札幌市手稲区手稲本町１条４丁目",43.120238,141.243785,11103,"JR函館本線(小樽～旭川)",1,"JR北海道"
1,1110310,"稲積公園","006-0011","札幌市手稲区富丘１条４丁目",43.112023,141.257113,11103,"JR函館本線(小樽～旭川)",1,"JR北海道"
1,1110311,"発寒","063-0829","札幌市西区発寒９条１３丁目",43.099819,141.277273,11103,"JR函館本線(小樽～旭川)",1,"JR北海道"
